Fill,Boston,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Denali,Dry Tortugas,Everglades,Gates of the Arctic,Gateway Arch,Glacier Bay,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Haleakalā,Hawaiʻi Volcanoes,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,National Park of American Samoa,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Virgin Islands,Voyageurs,White Sands National Park,Wind Cave,Wrangell–St. Elias,Yellowstone,Yosemite,Zion
Grand Teton,2344.17;35.47,2549.38;39.18,505.43;8.88,560.64;8.86,1360.03;21.71,2546.89;37.59,523.93;9.59,556.77;9.67,593.58;13.87,502.12;9.1,1107.91;17.16,1057.99;16.61,2074.17;31.03,807.78;13.39,1715.99;25.52,835.46;13.24,2779.68;47.83,2674.52;40.3,2586.31;38.28,2957.65;52.83,1301.32;19.53,2143.74;38.2,488.78;8.46,791.87;13.46,0;0,514.52;9.15,677.31;11.28,1828.65;27.52,1139.21;17.59,N/A;N/A,N/A;N/A,1426.71;22.02,1414.86;21.07,1370.5;22.84,952.58;15.27,2993.34;52.26,2898.34;49.97,1109.57;17.93,2909.75;51.79,2781.73;48.47,876.51;14.04,1592.24;24.15,625.88;10.85,830.68;13.46,N/A;N/A,855.32;14.2,1017.81;16.46,794.62;13.57,1035.32;16.32,1004.75;16.99,486.43;8.26,1122.25;17.56,1081.14;17.89,2062.97;31.53,557.22;9.76,N/A;N/A,1129.88;18.16,1063.03;16.49,473.99;7.5,2520.62;43.68,106.06;2.62,835.83;13.47,578.67;9.8
Great Basin,2595.49;39.09,2786.97;42.78,343.69;5.71,922.36;14.41,1233.23;20.54,2724.79;39.97,467.16;7.76,220.66;4.26,388.72;10.45,266.37;5.02,1002.41;16.3,676.96;10.56,2252.06;33.42,692.98;11.58,1953.58;29.12,397.23;6.6,3208.75;53.31,2852.42;42.69,2764.2;40.67,3386.72;58.3,1479.21;21.92,2572.81;43.68,917.85;13.93,447.59;7.87,514.35;9.12,0;0,666.13;11.07,2006.54;29.9,1033.72;16.73,N/A;N/A,N/A;N/A,1565.33;23.95,1652.45;24.67,1870.41;28.84,571.55;9.22,3422.41;57.73,3327.55;55.41,622.07;12.12,3338.82;57.27,3210.8;53.94,553.11;9.42,1770.14;26.54,464.13;7.68,899.27;14.55,N/A;N/A,1017.91;16.7,1085.03;17.54,545.55;9.01,628.25;11.59,765.53;13.23,658.39;10.73,741.22;11.52,700.11;11.85,2268.77;33.95,1087.0;16.8,N/A;N/A,1594.53;24.75,901.75;14.81,835.7;13.05,2949.69;49.16,644.37;10.75,409.56;7.09,213.69;4.02
Great Sand Dunes,2129.04;32.55,2386.09;36.38,349.18;6.43,602.82;9.65,718.56;12.42,2051.62;30.56,221.57;4.07,594.98;10.4,430.86;11.42,481.88;8.44,467.51;7.77,1055.83;16.92,1656.17;24.64,1252.0;20.16,1476.32;21.8,857.67;14.18,3425.15;56.28,2179.24;33.27,2091.03;31.25,3603.12;61.28,939.01;13.97,2789.22;46.66,1151.13;17.22,494.07;8.75,677.46;11.3,666.69;11.12,0;0,1466.35;21.95,498.82;8.2,N/A;N/A,N/A;N/A,880.42;14.1,1199.33;18.14,1477.84;22.89,841.49;13.84,3638.82;60.71,3545.1;58.36,1138.95;18.92,3555.22;60.25,3427.2;56.92,1226.44;19.32,1229.94;18.59,227.95;4.23,1336.69;21.22,N/A;N/A,1455.33;23.37,1522.45;24.21,400.22;6.83,1141.5;18.64,1438.86;23.13,298.87;4.95,673.07;10.33,1078.98;18.21,1728.57;26.0,842.14;13.23,N/A;N/A,1347.85;20.29,408.32;6.92,575.35;8.78,3166.1;52.14,776.29;11.86,1036.91;17.02,593.27;10.54
Great Smoky Mountains,933.32;15.0,1209.97;19.51,1733.2;25.71,1443.0;21.4,1457.72;22.19,892.98;13.62,1595.8;24.7,1935.34;29.34,1870.08;31.36,1822.24;27.38,1368.04;20.66,2329.52;34.23,259.72;4.53,N/A;N/A,527.6;8.08,2144.57;31.66,4163.02;67.75,1020.61;16.34,932.4;14.32,4341.9;72.7,529.13;8.06,3528.0;58.08,2104.87;31.41,1851.11;27.18,1829.85;27.64,2007.95;30.02,1466.42;22.09,0;0,1399.34;21.1,N/A;N/A,N/A;N/A,622.44;9.57,569.37;8.85,1052.27;16.74,2090.63;31.2,N/A;N/A,4277.88;69.8,2412.63;36.23,4294.0;71.67,4165.98;68.35,2515.09;37.45,252.88;4.56,1699.17;25.38,2607.39;39.48,N/A;N/A,N/A;N/A,2747.59;41.32,1648.48;24.16,2415.18;35.95,2727.51;41.26,1437.1;21.37,1831.56;26.86,2352.67;35.52,410.22;6.78,1568.65;23.43,N/A;N/A,1200.48;18.37,1520.1;22.55,1455.24;22.47,3904.88;63.56,1805.48;27.7,2390.86;35.6,2014.84;29.88
Guadalupe Mountains,2280.86;34.59,2531.86;38.49,708.9;11.49,985.67;15.36,274.53;4.75,1877.17;27.5,655.08;11.2,896.66;14.48,759.77;15.94,804.84;13.62,39.7;0.74,1017.5;15.18,1529.4;22.64,1589.56;24.75,1622.1;23.91,965.12;14.71,3829.8;62.21,2004.8;30.22,1916.59;28.2,4007.77;67.21,1078.31;15.97,3193.87;52.58,1555.78;23.15,668.25;10.92,1137.74;17.6,1010.77;16.81,498.46;8.2,1398.08;21.05,0;0,N/A;N/A,N/A;N/A,805.81;12.21,1395.1;20.69,1770.48;26.75,770.47;11.5,4043.47;66.64,3949.74;64.28,1186.38;18.52,3959.87;66.17,3831.86;62.85,1429.83;22.13,1265.83;18.82,592.88;9.42,1706.65;26.79,N/A;N/A,1825.29;28.94,1892.41;29.78,542.19;8.2,1178.37;17.98,1598.63;24.39,703.52;10.88,417.18;6.22,1126.41;17.81,1757.85;26.32,1246.8;19.16,N/A;N/A,1640.49;24.15,193.21;3.05,980.0;14.71,N/A;N/A,1180.94;17.79,1199.37;18.5,836.27;14.15
Haleakalā,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,0;0,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A
Hawaiʻi Volcanoes,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,0;0,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A
Hot Springs,1504.87;23.02,1781.36;27.51,1222.99;19.42,1089.45;16.43,866.63;13.28,1269.84;18.46,1047.61;17.59,1410.74;22.41,1273.86;23.87,1381.32;21.42,776.05;11.79,1736.41;26.24,804.99;12.03,2136.09;32.77,901.51;13.23,1551.46;23.67,3949.82;64.56,1397.47;21.17,1309.26;19.15,4127.79;69.55,399.64;6.15,3313.88;54.93,1804.92;27.43,1258.0;19.18,1425.3;22.11,1566.13;24.1,880.74;14.19,621.84;9.52,807.35;12.22,N/A;N/A,N/A;N/A,0;0,718.65;10.54,1120.21;17.34,1498.43;23.16,4163.48;68.98,4045.85;66.62,1819.52;28.23,4079.89;68.52,3951.87;65.2,2016.16;31.09,489.59;7.28,1105.51;17.33,2204.56;33.92,N/A;N/A,2230.65;34.13,2364.83;36.19,1056.28;16.13,1822.07;27.95,2242.33;34.37,996.18;15.41,1252.38;19.3,1759.56;27.52,981.6;14.78,1355.44;20.23,N/A;N/A,1128.31;17.08,861.95;14.16,1091.18;17.32,3690.76;60.41,1468.5;22.3,1797.75;27.61,1376.41;22.07
Indiana Dunes,939.76;14.64,1216.79;19.29,1390.77;20.44,932.18;13.6,1471.75;22.14,1393.08;20.46,1308.84;20.01,1592.91;24.08,1527.65;26.1,1479.81;22.12,1364.03;20.37,2150.82;31.47,811.99;12.34,2124.08;31.84,310.5;4.82,1928.29;28.1,3630.82;59.67,1520.71;23.17,1432.5;21.15,3808.79;64.66,317.74;4.82,2994.88;50.04,1571.76;23.36,1766.93;25.8,1413.28;21.19,1664.61;24.8,1198.15;18.27,566.47;8.82,1395.33;20.8,N/A;N/A,N/A;N/A,719.39;10.6,0;0,520.07;8.65,2007.37;29.79,3844.48;64.09,3748.76;61.75,2233.93;33.46,3760.89;63.63,3632.87;60.3,2098.52;31.0,371.72;5.7,1424.91;21.81,2158.46;32.19,N/A;N/A,2094.22;31.24,2256.7;33.5,1565.21;22.75,2236.48;33.18,2310.94;34.82,1065.58;15.89,1761.32;25.92,2173.97;32.75,657.48;10.83,1036.44;15.34,N/A;N/A,668.27;10.28,1435.92;21.18,1024.09;14.9,3371.76;55.52,1407.27;20.9,1999.07;29.94,1671.5;24.66
Isle Royale,1257.07;19.92,1258.92;22.28,1671.42;25.21,945.93;14.93,1845.05;28.19,1877.35;28.34,1589.49;24.78,1873.56;28.85,1808.31;30.86,1760.46;26.88,1737.33;26.43,2431.47;36.23,1296.25;20.22,2143.11;33.94,759.8;11.87,2208.94;32.87,3397.54;57.93,2004.97;31.06,1916.76;29.04,3575.51;62.92,722.23;11.31,2761.61;48.3,1376.99;22.29,1995.98;30.66,1371.81;22.91,1871.61;29.07,1478.81;23.03,1050.73;16.7,1768.64;26.86,N/A;N/A,N/A;N/A,1119.88;17.38,521.61;8.65,0;0,2287.58;34.61,3611.21;62.35,3517.28;60.04,2514.59;38.23,3527.62;61.89,3399.6;58.57,2210.4;34.71,855.99;13.58,1705.56;26.58,1964.91;31.17,N/A;N/A,1899.45;30.16,2061.93;32.42,1833.88;28.27,2369.21;37.0,2367.1;37.35,1346.24;20.66,2029.99;31.44,2454.62;37.52,1106.78;17.88,841.67;14.27,N/A;N/A,405.87;7.36,1704.59;26.7,1037.83;16.23,3138.49;53.78,1265.71;20.29,2219.56;34.15,1952.15;29.42
Joshua Tree,2865.05;43.02,3142.8;47.46,688.33;11.08,1360.79;20.59,992.87;15.29,2626.84;38.0,770.95;12.85,543.92;8.93,677.13;14.77,607.53;10.08,808.57;12.11,273.47;4.56,2273.54;33.58,914.52;14.71,2233.04;32.88,317.78;5.91,3647.18;59.49,2754.47;40.72,2666.26;38.7,3825.15;64.48,1689.25;24.94,3011.24;49.86,1356.28;20.11,378.27;6.14,952.78;15.3,571.87;9.25,842.44;13.82,2090.39;31.07,770.31;11.5,N/A;N/A,N/A;N/A,1497.78;23.04,2006.04;29.67,2324.96;34.81,0;0,3860.84;63.91,3727.14;61.25,442.35;7.9,3777.25;63.45,3649.23;60.12,712.23;11.83,1958.14;28.83,627.76;9.9,1328.36;21.06,N/A;N/A,1447.01;23.21,1514.12;24.05,443.78;7.17,443.91;8.01,1025.93;17.73,1039.3;16.13,366.9;5.73,382.38;7.19,2450.15;36.34,1525.44;22.98,N/A;N/A,2032.96;30.93,678.52;10.05,1274.13;19.23,3388.12;55.34,1082.8;16.93,455.34;7.88,426.19;7.21
Katmai,4766.34;78.36,4713.77;81.41,3414.89;57.1,3190.94;54.41,4266.98;70.35,5203.98;83.18,3538.36;59.15,3466.23;57.89,3503.04;62.08,3411.58;57.32,4014.86;65.8,3595.66;62.56,4619.82;75.27,2905.91;52.59,4140.42;68.12,3744.92;61.46,456.52;8.21,5331.61;85.89,5243.4;83.87,879.62;17.26,3941.4;65.31,971.07;18.07,2528.72;44.22,3701.33;61.68,2994.76;51.92,3423.98;57.36,3641.52;60.31,4374.3;71.76,4046.16;66.23,N/A;N/A,N/A;N/A,4142.27;68.58,3845.18;63.7,3613.7;61.99,3823.56;63.2,0;0,165.24;3.34,3490.91;61.79,831.72;16.23,301.31;5.81,3127.16;55.93,4179.56;68.64,3535.34;59.07,2580.69;47.6,N/A;N/A,2464.08;45.33,2557.4;47.98,3704.07;61.78,3393.35;59.79,3021.25;54.51,3410.58;57.05,3973.21;65.43,3492.15;61.93,4487.4;74.13,2950.78;50.71,N/A;N/A,3232.61;55.38,3969.98;65.12,3218.75;54.29,474.03;8.6,2953.39;51.46,3353.97;60.1,3488.13;58.01
Kenai Fjords,4670.55;76.41,4615.9;79.82,3317.48;55.53,3091.96;52.76,4168.47;68.75,5106.32;81.62,3441.3;57.6,3368.99;56.33,3406.65;60.57,3314.23;55.77,3918.28;64.34,3498.78;60.66,4526.04;73.72,2808.89;50.62,4041.35;66.57,3648.86;60.0,360.13;6.21,5234.55;84.37,5146.13;82.3,781.66;15.23,3842.27;63.69,874.71;16.19,2431.45;42.62,3604.31;60.1,2897.55;50.31,3326.62;55.78,3543.03;58.76,4281.81;70.19,3947.68;64.69,N/A;N/A,N/A;N/A,4067.69;67.04,3748.69;62.14,3515.42;60.41,3765.05;61.97,165.12;3.33,0.0;0.0,3393.79;59.85,733.76;14.21,204.9;3.84,3029.92;54.02,4086.77;67.09,3441.15;57.59,2483.22;45.64,N/A;N/A,2367.34;43.38,2431.23;45.65,3606.85;60.19,3296.16;57.85,2923.83;52.59,3313.18;55.57,3876.42;63.86,3394.96;60.02,4398.56;72.62,2853.06;49.11,N/A;N/A,3134.39;53.82,3871.68;63.59,3120.24;52.82,377.65;6.66,2856.18;49.87,3257.2;58.22,3390.92;56.46
Kings Canyon,3164.82;47.75,3370.19;51.49,913.82;14.41,1550.01;23.91,1409.03;22.27,2963.57;44.39,1037.29;16.47,733.14;12.24,919.1;18.82,796.75;13.39,1224.73;19.09,324.37;5.89,2595.37;38.68,623.2;10.73,2536.8;37.83,414.12;7.64,3275.91;57.37,3091.19;47.1,3002.98;45.08,3453.88;62.36,2011.08;30.04,2639.97;47.74,1459.19;22.5,676.47;11.22,1108.65;17.88,625.12;12.2,1164.27;18.92,2412.22;36.17,1186.47;18.47,N/A;N/A,N/A;N/A,1819.62;28.14,2235.67;33.37,2514.18;38.12,442.86;7.86,3489.57;61.79,3394.49;59.84,0;0,3405.98;61.33,3277.96;58.01,420.9;7.85,2279.98;33.93,925.96;14.98,992.94;16.7,N/A;N/A,1130.32;18.8,1085.9;18.41,765.62;12.27,235.41;4.63,584.88;10.23,1228.52;19.44,783.06;12.7,100.64;3.43,2771.99;41.44,1628.34;25.36,N/A;N/A,2201.0;33.76,1094.68;17.02,1463.35;22.54,3016.86;53.22,1185.71;19.31,217.78;5.26,615.41;10.52
Kobuk Valley,4682.74;77.89,4632.41;80.98,3333.54;56.67,3109.59;53.98,4185.63;69.93,5122.63;82.76,3457.01;58.73,3384.87;57.46,3421.68;61.66,3330.22;56.89,3933.5;65.38,3514.31;62.14,4538.47;74.85,2824.55;52.17,4059.07;67.7,3663.57;61.03,373.96;8.02,5250.26;85.47,5162.04;83.45,48.6;1.1,3860.05;64.89,889.71;17.65,2447.37;43.8,3619.98;61.26,2913.4;51.5,3342.62;56.94,3560.17;59.89,4292.95;71.33,3964.8;65.81,N/A;N/A,N/A;N/A,4060.91;68.15,3763.82;63.28,3532.34;61.56,3742.21;62.78,829.55;16.16,735.3;14.28,3409.55;61.36,0;0,598.06;11.91,3045.81;55.51,4098.21;68.22,3453.98;58.65,2499.33;47.18,N/A;N/A,2382.73;44.9,2476.05;47.56,3622.72;61.36,3312.0;59.37,2939.9;54.09,3329.23;56.62,3891.85;65.0,3410.8;61.51,4406.04;73.71,2869.42;50.29,N/A;N/A,3151.26;54.95,3888.63;64.7,3137.39;53.87,519.23;10.41,2872.04;51.04,N/A;N/A,3406.78;57.59
